pokeDexId,name,type1,type2,total,hp,attack,defense,spAtk,spDef,speed,generation,legendary,attractivity,fertility,fitness,nogoTypes,attractedTypes,nogos,imgurl,nogosTypes
1,Bulbasaur,Grass,Poison,318,45,49,49,65,65,45,1,False,0.58,0.74,0.79,,"['Bug', 'Ice', 'Steel']",,https://www.kaggle.com/kvpratama/pokemon-images-dataset#1.png,"['Fighting', 'Psychic', 'Ground']"
2,Ivysaur,Grass,Poison,405,60,62,63,80,80,60,1,False,0.44,0.33,0.78,,['Ghost'],,https://www.kaggle.com/kvpratama/pokemon-images-dataset#2.png,"['Bug', 'Fairy', 'Fighting', 'Flying']"
3,Venusaur,Grass,Poison,525,80,82,83,100,100,80,1,False,0.1,0.79,0.84,,"['Electric', 'Grass', 'Fire', 'Water', 'Poison']",,https://www.kaggle.com/kvpratama/pokemon-images-dataset#3.png,"['Dark', 'Steel', 'Fire']"
4,Charmander,Fire,,309,39,52,43,60,50,65,1,False,0.95,0.82,0.71,,"['Electric', 'Fighting']",,https://www.kaggle.com/kvpratama/pokemon-images-dataset#4.png,"['Fighting', 'Ice', 'Bug', 'Ghost', 'Electric']"
5,Charmeleon,Fire,,405,58,64,58,80,65,80,1,False,0.16,0.12,0.91,,"['Electric', 'Dragon']",,https://www.kaggle.com/kvpratama/pokemon-images-dataset#5.png,"['Bug', 'Poison', 'Fairy', 'Steel']"
6,Charizard,Fire,Flying,534,78,84,78,109,85,100,1,False,0.87,0.45,0.71,,"['Ground', 'Ice', 'Rock', 'Psychic']",,https://www.kaggle.com/kvpratama/pokemon-images-dataset#6.png,"['Bug', 'Normal', 'Steel', 'Psychic', 'Dragon']"
7,Squirtle,Water,,314,44,48,65,50,64,43,1,False,0.16,0.8,0.13,,"['Fairy', 'Bug', 'Electric', 'Poison']",,https://www.kaggle.com/kvpratama/pokemon-images-dataset#7.png,"['Dark', 'Grass', 'Fairy']"
8,Wartortle,Water,,405,59,63,80,65,80,58,1,False,0.55,0.98,0.82,,"['Ground', 'Normal']",,https://www.kaggle.com/kvpratama/pokemon-images-dataset#8.png,"['Water', 'Ice', 'Ground', 'Fairy', 'Ghost', 'Psychic']"
9,Blastoise,Water,,530,79,83,100,85,105,78,1,False,0.42,0.96,0.79,,"['Flying', 'Fighting', 'Ghost', 'Steel']",,https://www.kaggle.com/kvpratama/pokemon-images-dataset#9.png,"['Bug', 'Flying', 'Fairy', 'Psychic', 'Ground', 'Electric']"
10,Caterpie,Bug,,195,45,30,35,20,20,45,1,False,0.21,0.02,0.85,,['Grass'],,https://www.kaggle.com/kvpratama/pokemon-images-dataset#10.png,"['Water', 'Poison', 'Ice']"
11,Metapod,Bug,,205,50,20,55,25,25,30,1,False,0.73,0.76,0.2,,"['Ghost', 'Normal', 'Dark', 'Psychic', 'Rock']",,https://www.kaggle.com/kvpratama/pokemon-images-dataset#11.png,"['Dark', 'Bug', 'Fire']"
12,Butterfree,Bug,Flying,395,60,45,50,90,80,70,1,False,0.75,0.43,0.47,,"['Flying', 'Dark', 'Ice', 'Poison', 'Ground']",,https://www.kaggle.com/kvpratama/pokemon-images-dataset#12.png,"['Fairy', 'Dark', 'Flying', 'Psychic', 'Ice', 'Ghost']"
13,Weedle,Bug,Poison,195,40,35,30,20,20,50,1,False,0.78,0.32,0.1,,['Dark'],,https://www.kaggle.com/kvpratama/pokemon-images-dataset#13.png,"['Fire', 'Electric', 'Poison', 'Dark', 'Steel']"
14,Kakuna,Bug,Poison,205,45,25,50,25,25,35,1,False,0.88,0.98,0.62,,['Rock'],,https://www.kaggle.com/kvpratama/pokemon-images-dataset#14.png,"['Rock', 'Normal', 'Grass', 'Fire']"
15,Beedrill,Bug,Poison,395,65,90,40,45,80,75,1,False,0.16,0.44,0.99,,"['Dark', 'Psychic', 'Electric', 'Dragon']",,https://www.kaggle.com/kvpratama/pokemon-images-dataset#15.png,"['Psychic', 'Dark', 'Grass', 'Rock', 'Normal', 'Electric']"
16,Pidgey,Normal,Flying,251,40,45,40,35,35,56,1,False,0.69,0.13,0.29,,"['Dragon', 'Ice', 'Ground']",,https://www.kaggle.com/kvpratama/pokemon-images-dataset#16.png,"['Steel', 'Flying', 'Ghost', 'Fairy']"
17,Pidgeotto,Normal,Flying,349,63,60,55,50,50,71,1,False,0.25,0.57,0.52,,['Ground'],,https://www.kaggle.com/kvpratama/pokemon-images-dataset#17.png,"['Steel', 'Dragon', 'Water', 'Electric', 'Ghost']"
18,Pidgeot,Normal,Flying,479,83,80,75,70,70,101,1,False,0.28,0.53,0.53,,"['Ice', 'Rock', 'Normal', 'Ghost']",,https://www.kaggle.com/kvpratama/pokemon-images-dataset#18.png,"['Grass', 'Fighting', 'Ghost', 'Rock']"
19,Rattata,Normal,,253,30,56,35,25,35,72,1,False,0.03,0.09,0.45,,"['Rock', 'Ground', 'Normal', 'Fairy', 'Flying']",,https://www.kaggle.com/kvpratama/pokemon-images-dataset#19.png,"['Electric', 'Fairy', 'Fire']"
20,Raticate,Normal,,413,55,81,60,50,70,97,1,False,0.37,0.16,0.46,,['Water'],,https://www.kaggle.com/kvpratama/pokemon-images-dataset#20.png,"['Bug', 'Ice', 'Psychic', 'Fighting', 'Grass']"
21,Spearow,Normal,Flying,262,40,60,30,31,31,70,1,False,0.38,0.53,0.03,,"['Grass', 'Bug', 'Fairy', 'Dragon', 'Psychic']",,https://www.kaggle.com/kvpratama/pokemon-images-dataset#21.png,"['Poison', 'Bug', 'Normal', 'Dragon', 'Ground']"
22,Fearow,Normal,Flying,442,65,90,65,61,61,100,1,False,0.61,0.32,0.78,,"['Bug', 'Water', 'Dark', 'Flying']",,https://www.kaggle.com/kvpratama/pokemon-images-dataset#22.png,"['Bug', 'Dark', 'Poison', 'Flying', 'Fire', 'Psychic']"
23,Ekans,Poison,,288,35,60,44,40,54,55,1,False,0.42,0.16,0.98,,"['Dragon', 'Grass', 'Water', 'Poison']",,https://www.kaggle.com/kvpratama/pokemon-images-dataset#23.png,"['Electric', 'Poison', 'Ground']"
24,Arbok,Poison,,438,60,85,69,65,79,80,1,False,0.21,0.19,0.76,,"['Grass', 'Fighting', 'Psychic']",,https://www.kaggle.com/kvpratama/pokemon-images-dataset#24.png,"['Fighting', 'Ghost', 'Electric']"
25,Pikachu,Electric,,320,35,55,40,50,50,90,1,False,0.72,0.08,1.0,,['Flying'],,https://www.kaggle.com/kvpratama/pokemon-images-dataset#25.png,"['Dark', 'Water', 'Rock', 'Steel', 'Ghost', 'Flying']"
26,Raichu,Electric,,485,60,90,55,90,80,110,1,False,0.87,0.43,0.23,,"['Psychic', 'Ghost']",,https://www.kaggle.com/kvpratama/pokemon-images-dataset#26.png,"['Rock', 'Grass', 'Poison']"
27,Sandshrew,Ground,,300,50,75,85,20,30,40,1,False,0.64,0.45,0.91,,"['Dark', 'Poison', 'Rock']",,https://www.kaggle.com/kvpratama/pokemon-images-dataset#27.png,"['Rock', 'Flying', 'Grass']"
28,Sandslash,Ground,,450,75,100,110,45,55,65,1,False,0.01,0.66,0.04,,"['Fairy', 'Dark', 'Fighting', 'Rock', 'Grass']",,https://www.kaggle.com/kvpratama/pokemon-images-dataset#28.png,"['Fairy', 'Normal', 'Dragon', 'Rock', 'Electric', 'Water']"
29,Nidoran♀,Poison,,275,55,47,52,40,40,41,1,False,0.21,0.25,0.46,,"['Flying', 'Psychic', 'Fighting', 'Normal', 'Ice']",,https://www.kaggle.com/kvpratama/pokemon-images-dataset#29.png,"['Fairy', 'Bug', 'Fire', 'Dragon', 'Ghost']"
30,Nidorina,Poison,,365,70,62,67,55,55,56,1,False,0.04,0.62,0.9,,"['Ice', 'Rock', 'Fairy']",,https://www.kaggle.com/kvpratama/pokemon-images-dataset#30.png,"['Ground', 'Poison', 'Flying']"
31,Nidoqueen,Poison,Ground,505,90,92,87,75,85,76,1,False,0.74,0.93,0.44,,"['Fighting', 'Rock']",,https://www.kaggle.com/kvpratama/pokemon-images-dataset#31.png,"['Poison', 'Fighting', 'Fairy', 'Psychic', 'Normal', 'Steel']"
32,Nidoran♂,Poison,,273,46,57,40,40,40,50,1,False,0.27,0.02,0.43,,['Psychic'],,https://www.kaggle.com/kvpratama/pokemon-images-dataset#32.png,"['Poison', 'Water', 'Grass']"
